Company Name;Global Company Key;Historical CRSP PERMNO Link to COMPUSTAT Record;CUSIP;Ticker;Fiscal year end;Audit Committee Members;Audit Committee Independent;Audit Committee Financial Expert;% of Independence Audit Committee;% of Expert Audit Committee;Book/Market;Return on Assets;Return on Equity;Return on Capital Employed;Total Debt/Total Assets;Total Debt/Equity;ISO Currency Code;Assets - Total;Capital Expenditures;Earnings Before Interest and Taxes;Earnings Before Interest;Gross Profit (Loss);Net Income (Loss);Sales/Turnover (Net);Active/Inactive Status Marker
EXPEDIA GROUP INC;126296;90808;30212P30;EXPE;31/12/2019;3;2;2;0,6667;0,6667;0,26;0,09;0,14;0,11;0,74;4;USD;21416;1160;961;1871;9990;565;12067;A
EXPEDITORS INTL WASH INC;4494;87717;30213010;EXPD;31/12/2019;5;5;2;1;0,4;0,17;0,23;0,28;0,34;0,4;0,68;USD;3691,88;47,02;766,69;817,64;1047,97;590,4;8175,43;A
EXXON MOBIL CORP;4503;11850;30231G10;XOM;31/12/2019;3;3;3;1;1;0,74;0,09;0,07;0,05;0,45;0,85;USD;362597;24361;12766;31764;44431;14340;255583;A
FASTENAL CO;14225;11618;31190010;FAST;31/12/2019;6;5;3;0,8333;0,5;0,13;0,34;0,31;0,35;0,3;0,43;USD;3799,9;246,4;1056;1204,7;2664,1;790,9;5333,7;A
FIDELITY NATIONAL INFO SVCS;165993;89003;31620M10;FIS;31/12/2019;8;7;6;0,875;0,75;0,63;0,07;0,01;0,04;0,41;0,69;USD;83806;200;1760;4021;5984;298;10333;A
FIFTH THIRD BANCORP;4640;34746;31677310;FITB;31/12/2019;6;3;1;0,5;0,1667;0,93;0,03;0,14;0,11;0,87;6,99;USD;169369;;;;;;;A
FIFTH THIRD BANCORP;4640;34746;31677310;FITB;31/12/2019;6;3;1;0,5;0,1667;0,93;0,03;0,14;0,11;0,87;6,99;USD;169369;304;3888;4197;6972;2512;8900;A
FIRST HORIZON CORP;4737;36397;32051710;FHN;31/12/2019;7;6;2;0,8571;0,2857;0,91;0,02;0,1;0,12;0,88;8;USD;43310,9;;;;;;;A
FIRST HORIZON CORP;4737;36397;32051710;FHN;31/12/2019;7;6;2;0,8571;0,2857;0,91;0,02;0,1;0,12;0,88;8;USD;43310,9;49,16;972,97;1041,59;1817,21;440,91;2278,36;A
FIRST SOLAR INC;175404;91611;33643310;FSLR;31/12/2019;5;3;1;0,6;0,2;0,86;0,06;-0,02;0,04;0,32;0,47;USD;7515,69;668,72;201,22;406,52;754,51;-114,93;3063,12;A
FIRSTENERGY CORP;8099;23026;33793210;FE;31/12/2019;6;6;5;1;0,8333;0,37;0,09;0,1;0,09;0,84;5,06;USD;42301;2665;2510;3651;3651;912;11035;A
FLIR SYSTEMS INC;28477;79265;30244510;FLIR;31/12/2019;5;2;5;0,4;1;0,28;0,15;0,09;0,14;0,4;0,68;USD;3137,54;44,79;340,94;442,64;1039,06;171,6;1887,03;I
FLOWSERVE CORP;4108;30940;34354P10;FLS;31/12/2019;7;6;3;0,8571;0,4286;0,3;0,11;0,14;0,13;0,63;1,73;USD;4919,64;66,17;431,53;535,92;1417;253,67;3944,85;A
FLUOR CORP;4818;88853;34341210;FLR;31/12/2019;7;7;3;1;0,4286;0,59;-0,06;-0,74;-0,14;0,8;4,29;USD;7966,66;180,84;-586,47;-464,29;-305,2;-1522,16;14348,02;A
FMC CORP;4510;19166;30249130;FMC;31/12/2019;5;3;3;0,6;0,6;0,22;0,12;0,17;0,18;0,74;2,89;USD;9872,7;93,9;1070,4;1202,7;2215,9;477,4;4609,8;A
FORD MOTOR CO;4839;25785;34537086;F;31/12/2019;5;3;2;0,6;0,4;0,91;0,06;0;0,03;0,87;6,79;USD;258537;7632;5767;15456;28034;47;155900;A
FOSSIL GROUP INC;28118;79089;34988V10;FOSL;31/12/2019;5;5;5;1;1;1,27;0,05;-0,1;0,02;0,69;2,19;USD;1604,73;20,89;17,87;72,66;1154,23;-52,37;2217,71;A
FREEPORT-MCMORAN INC;14590;81774;35671D85;FCX;31/12/2019;5;5;2;1;0,4;0,71;0,06;-0,02;0,04;0,57;2,51;USD;40809;2652;889;2522;3040;-239;14568;A
GANNETT CO INC;19574;14490;36472T10;GCI;31/12/2019;8;8;4;1;0,5;1,2;0,07;-0,14;0,04;0,76;3,09;USD;4020,1;13,98;77,42;181,4;788,32;-119,84;1867,91;A
GENERAL DYNAMICS CORP;5046;12052;36955010;GD;31/12/2019;7;4;4;0,5714;0,5714;0,28;0,11;0,26;0,18;0,72;2,6;USD;48841;987;4648;5391;7802;3484;39350;A
GE AEROSPACE;5047;12060;36960410;GE;31/12/2019;14;12;14;0,8571;1;0,29;0,05;0,01;0,07;0,89;8,33;USD;266048;5813;8799;14394;27886;-4979;95214;A
GENUINE PARTS CO;5125;46674;37246010;GPC;31/12/2019;7;5;6;0,7143;0,8571;0,25;0,1;0,16;0,15;0,75;2,98;USD;14645,63;297,87;1132,6;1402,89;6325,88;621,09;19392,31;A
GENWORTH FINANCIAL INC;158354;90162;37247D10;GNW;31/12/2019;5;2;5;0,4;1;6,4;0,01;0,03;0,05;0,86;6,11;USD;101342;;;;;;;A
GENWORTH FINANCIAL INC;158354;90162;37247D10;GNW;31/12/2019;5;2;5;0,4;1;6,4;0,01;0,03;0,05;0,86;6,11;USD;101342;0;881;945;945;343;8020;A
GILEAD SCIENCES INC;24856;77274;37555810;GILD;31/12/2019;4;3;3;0,75;0,75;0,27;0,1;0,25;0,11;0,63;1,73;USD;61627;825;5087;6491;19178;5386;22449;A
GOLDMAN SACHS GROUP INC;114628;86868;38141G10;GS;31/12/2019;4;4;1;1;0,25;0,95;0,03;0,11;0,04;0,91;9,98;USD;992968;;;;;;;A
GOLDMAN SACHS GROUP INC;114628;86868;38141G10;GS;31/12/2019;4;4;1;1;0,25;0,95;0,03;0,11;0,04;0,91;9,98;USD;992968;8443;24391;26095;26095;8466;53922;A
